Question Text,Option A,Option B,Option C,Option D,Correct Answer
The lifetime of a certain type of battery is normally distributed with a mean of 500 hours and a standard deviation of 50 hours. Find the probability that a battery will last less than 450 hours.,0.3085,0.1915,0.0228,0.1587,B
For a uniform distribution between 0 and 1. what is the probability density function?,f(x)=1, f(x)=x, f(x)=1/x, f(x)=1/2, A
If X is a continuous random variable with probability density function f(x)=2x for 0≤x≤1. what is P(X≤0.5)?,0.25,0.5,0.75,1.0,A
A continuous random variable has a probability density function f(x)=3x^2 for 0≤x≤1. Find the probability that the variable takes a value less than 0.5.,0.125,0.25,0.375,0.5,C
What is the area under the probability density function of a continuous random variable over all possible values?,0.5,1,2,∞,B
If the probability density function of X is f(x)=2 for 0≤x≤0.5. what is the cumulative distribution function F(x) at x=0.5?,0.25,0.5,0.75,1.0,B
The probability density function of a uniform distribution over the interval [a b] is given by f(x)=?,1/(b-a), (b-a), (b+a)/2, 1, A
For a continuous random variable X with PDF f(x)=1/3 for -3≤x≤3. what is the probability that X is between -1 and 1?,1/3,2/3,1/6,1/2,C
If the PDF of X is f(x)=4x^3 for 0≤x≤1. what is the mean of X?,0.2,0.25,0.5,0.75,D
For a normal distribution with mean μ and standard deviation σ . what is the value of the probability density function at the mean?,1/(σ√(2π)), 1/2σ, μ/(2π), 1/σ,A
A random variable X has a PDF f(x)=2x for 0≤x≤1. Find the median of X.,0.25,0.5,0.75,1.0,B
What is the variance of a uniform distribution over the interval [0 1]?,1/6,1/3,1/2,1,B
For an exponential distribution with mean 1/λ. what is the value of the probability density function at x=0?,λ,1/λ,0,1,A
If the probability density function of X is f(x)=1/2 for -1≤x≤1. what is P(-0.5≤X≤0.5)?,0.25,0.5,0.75,1.0,B
The PDF of a continuous random variable X is f(x)=3x^2 for 0≤x≤1. What is the expected value of X?,0.25,0.5,0.75,1.0,C
For a uniform distribution over [a b]. what is the mean?,a+b, (a+b)/2, b-a, 2a, B
If X is a normally distributed random variable with mean 0 and variance 1. what is the PDF of X?,1/(√(2π)) e^(-x^2/2), 1/(2π) e^(-x^2/2), 1/(2π) e^(-x^2), e^(-x^2/2), A
The PDF of a random variable X is f(x)=2 for 0≤x≤0.5. What is the variance of X?,1/48,1/24,1/12,1/6, B
For a normal distribution. what percentage of data falls within one standard deviation of the mean?,68.26%, 95.44%, 99.72%, 50%, A
If the cumulative distribution function of X is F(x)=x^2 for 0≤x≤1. what is the PDF of X?,2x, x^2, 1/2x, x, A
