Question Text,Option A,Option B,Option C,Option D,Correct Answer
What is the probability of rolling a 3 on a fair six-sided die?,1/6,1/5,1/4,1/3,A
If X is a random variable representing the sum of two six-sided dice. what is P(X=7)?,1/6,1/8,1/12,1/9,A
The mean of a random variable X is 50 and the standard deviation is 10. What is P(X>60)?,0.1587,0.8413,0.0228,0.9772,A
The lifetime of a battery is normally distributed with a mean of 500 hours and a standard deviation of 50 hours. Find P(X<450).,0.3085,0.1915,0.0228,0.1587,B
For a binomial random variable with n=10 and p=0.5. what is the mean?,2.5,5,7.5,10,B
For a binomial random variable with n=10 and p=0.5. what is the variance?,2.5,5,7.5,10,A
The height of students in a school is normally distributed with a mean of 160 cm and a standard deviation of 10 cm. What is the probability that a student is taller than 170 cm?,0.1587,0.8413,0.0228,0.9772,A
The weight of apples in a basket is normally distributed with a mean of 100 grams and a standard deviation of 15 grams. What is the probability that an apple weighs between 85 and 115 grams?,0.6826,0.3174,0.9544,0.0456,A
A factory produces bulbs with a lifetime that is exponentially distributed with a mean of 1000 hours. What is the probability that a bulb lasts more than 1200 hours?,0.3012,0.6988,0.1500,0.8500,A
The number of cars passing through a toll booth follows a Poisson distribution with a mean of 3 cars per minute. What is the probability of no cars passing in a minute?,0.0498,0.9502,0.1990,0.8010,A
If a random variable X follows a uniform distribution between 0 and 10. what is the probability that X is less than 3?,0.3,0.1,0.5,0.2,A
A die is rolled twice. What is the probability that the sum is 7?,1/6,1/9,1/36,1/3,A
The weight of bags of flour is normally distributed with a mean of 2 kg and a standard deviation of 0.2 kg. What is the probability that a bag weighs between 1.8 kg and 2.2 kg?,0.6826,0.8413,0.1587,0.0228,A
For a random variable following a normal distribution. what is the value of the 50th percentile?,mean,mean+sd,mean-sd,median,A
The time to complete a task is exponentially distributed with a mean of 20 minutes. What is the probability that it takes more than 30 minutes?,0.2231,0.7769,0.1429,0.8571,A
A random variable X has a mean of 5 and a standard deviation of 2. What is P(X>7)?,0.1587,0.8413,0.0228,0.9772,A
If a fair coin is flipped 10 times. what is the probability of getting exactly 5 heads?,0.2461,0.3770,0.1172,0.6230,A
A continuous random variable X is uniformly distributed between 0 and 1. What is the mean of X?,0.25,0.5,0.75,1,B
If X is a normally distributed random variable with mean 0 and standard deviation 1. what is P(X<1)?,0.8413,0.1587,0.5000,0.0228,A
The number of calls received by a call center follows a Poisson distribution with a mean of 5 calls per hour. What is the probability of receiving exactly 7 calls in an hour?,0.1044,0.3321,0.1404,0.2816,A
