Question Text,Option A,Option B,Option C,Option D,Correct Answer
A die is rolled twice. What is the probability of getting a 6 on the second roll given that the first roll was a 6?,1/6,1/36,1/12,1/3,A
What is the probability that a student chosen at random studies both Mathematics and Physics given that the probability of studying Mathematics is 0.5 and the probability of studying Physics given that a student studies Mathematics is 0.2?,0.1,0.2,0.3,0.4,A
If the probability of event A is 0.4 and the probability of event B given A is 0.5. what is the joint probability of A and B?,0.2,0.4,0.5,0.6,A
A bag contains 3 red and 5 blue balls. If a ball is drawn at random. what is the probability that it is red given that it is not blue?,1/3,2/3,1/4,1/2,A
The probability of a student passing an exam is 0.7. What is the probability that a student passed the exam given that they studied?,0.5,0.6,0.7,0.8,C
If the probability of event A is 0.3 and the probability of event B given A is 0.4. what is the probability of event A given B?,0.1,0.2,0.3,0.4,A
A card is drawn from a standard deck of 52 cards. What is the probability that it is a queen given that it is a face card?,1/3,1/4,1/2,1/13,B
If the probability of event A is 0.2 and the probability of event B given A is 0.6. what is the probability of both A and B occurring?,0.12,0.24,0.36,0.48,A
A jar contains 4 red 3 blue and 5 green marbles. What is the probability of drawing a blue marble given that it is not green?,1/4,3/8,3/7,1/2,C
If a coin is flipped and a die is rolled. what is the probability of getting heads on the coin given that a 4 is rolled on the die?,1/2,1/4,1/6,1/12,A
The probability of a person having a disease is 0.01. If a test for the disease is 99% accurate. what is the probability of having the disease given a positive test result?,0.5,0.1,0.09,0.01,A
What is the probability that a randomly selected person is a smoker given that they are male if 30% of males are smokers?,0.3,0.2,0.1,0.4,A
If the probability of event A is 0.4 and the probability of event B given A is 0.5. what is the conditional probability of event B given that A has occurred?,0.2,0.4,0.5,0.6,C
A box contains 5 white. 7 red. and 8 blue balls. What is the probability that a ball is red given that it is not white?,7/15,7/20,7/19,7/21,A
If the probability of drawing a red card from a deck is 0.5 and the probability of drawing a king given that the card is red is 0.077. what is the probability of drawing a red king?,0.0385,0.5,0.077,0.154,A
A bag contains 4 red and 6 blue balls. If one ball is drawn. what is the probability that it is red given that it is not blue?,2/5,1/4,4/10,2/3,D
What is the probability of picking a defective item given that you picked one from a lot where 3 out of 100 items are defective?,0.03,0.07,0.1,0.9,A
A student is known to solve 70% of the problems correctly. What is the probability that he solves the next problem correctly given that he solved the previous one?,0.7,0.5,0.3,0.4,A
If the probability of an event is 0.3 and the probability of its complement is 0.7. what is the probability of the event given its complement?,0.3,0.4,0.5,0.6,A
The probability of drawing a red card from a standard deck of cards is 0.5. What is the probability of drawing a red card given that it is a face card?,3/26,2/26,1/26,4/26,A
